bucket	descriptor	proposed_name	source	evidence	risk	path
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/a/a;	BaseLog	BaseLog.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/a/a.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/a/b;	XTLog	XTLog.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/a/b.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a;	XTManage	XTManage.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/a/a;	BroadcastManager	BroadcastManager.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/a.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/b/a;	CommonData	CommonData.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/b/a.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/b/b;	LogUtil	LogUtil.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/b/b.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/b/c;	TWAT	TWAT.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/b/c.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/c/a;	ContactDBHelper	ContactDBHelper.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/c/a.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/c/b;	ContactDBManager	ContactDBManager.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/c/b.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/c/c;	DBHelper	DBHelper.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/c/c.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/d/a;	BTModel	BTModel.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/d/a.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/d/b;	BTModel	BTModel.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/d/b.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/d/c;	BTModel	BTModel.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/d/c.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/d/d;	BTModel	BTModel.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/d/d.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/d/e;	BTModel	BTModel.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/d/e.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/d/g;	BTModelView	BTModelView.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/d/g.smali
AUTO_CONFIRM_CLASS_SOURCE	Lcom/eckom/xtlibrary/b/a/d/h;	BaseBTModel	BaseBTModel.java	.source provides meaningful class-level name	class-level mapping-only appears safe	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/d/h.smali
