family	owner_descriptor	mapped_owner	method_signature	source_file	caller_count	caller_examples	sink_or_implementer_examples	payload_types	working_label	confidence	status	evidence	missing_evidence	runtime_required	reviewed_in_commit_or_slice
BT	Lcom/eckom/xtlibrary/b/a/d/g;	BTModelView	public abstract C(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel	groupedBtEventIntOrSignal	low_medium	reviewed_but_grouped	BTModelView abstract callback family grouped under representative deferred rows; direct presenter->view delegate pattern already established	per-method BT event-code semantics deferred to representative rows with payload context	no	pr22-bt-group
BT	Lcom/eckom/xtlibrary/b/a/d/g;	BTModelView	public abstract H(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel	groupedBtEventIntOrSignal	low_medium	reviewed_but_grouped	BTModelView abstract callback family grouped under representative deferred rows; direct presenter->view delegate pattern already established	per-method BT event-code semantics deferred to representative rows with payload context	no	pr22-bt-group
BT	Lcom/eckom/xtlibrary/b/a/d/g;	BTModelView	public abstract I()V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel	groupedBtEventIntOrSignal	low_medium	reviewed_but_grouped	BTModelView abstract callback family grouped under representative deferred rows; direct presenter->view delegate pattern already established	per-method BT event-code semantics deferred to representative rows with payload context	no	pr22-bt-group
BT	Lcom/eckom/xtlibrary/b/a/d/g;	BTModelView	public abstract J(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel	groupedBtEventIntOrSignal	low_medium	reviewed_but_grouped	BTModelView abstract callback family grouped under representative deferred rows; direct presenter->view delegate pattern already established	per-method BT event-code semantics deferred to representative rows with payload context	no	pr22-bt-group
BT	Lcom/eckom/xtlibrary/b/a/d/g;	BTModelView	public abstract M(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel	groupedBtEventIntOrSignal	low_medium	reviewed_but_grouped	BTModelView abstract callback family grouped under representative deferred rows; direct presenter->view delegate pattern already established	per-method BT event-code semantics deferred to representative rows with payload context	no	pr22-bt-group
BT	Lcom/eckom/xtlibrary/b/a/d/g;	BTModelView	public abstract N()V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel	groupedBtEventIntOrSignal	low_medium	reviewed_but_grouped	BTModelView abstract callback family grouped under representative deferred rows; direct presenter->view delegate pattern already established	per-method BT event-code semantics deferred to representative rows with payload context	no	pr22-bt-group
BT	Lcom/eckom/xtlibrary/b/a/d/g;	BTModelView	public abstract N(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel	groupedBtEventIntOrSignal	low_medium	reviewed_but_grouped	BTModelView abstract callback family grouped under representative deferred rows; direct presenter->view delegate pattern already established	per-method BT event-code semantics deferred to representative rows with payload context	no	pr22-bt-group
BT	Lcom/eckom/xtlibrary/b/a/d/g;	BTModelView	public abstract P(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel	groupedBtEventIntOrSignal	low_medium	reviewed_but_grouped	BTModelView abstract callback family grouped under representative deferred rows; direct presenter->view delegate pattern already established	per-method BT event-code semantics deferred to representative rows with payload context	no	pr22-bt-group
BT	Lcom/eckom/xtlibrary/b/a/d/g;	BTModelView	public abstract T()V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel	groupedBtEventIntOrSignal	low_medium	reviewed_but_grouped	BTModelView abstract callback family grouped under representative deferred rows; direct presenter->view delegate pattern already established	per-method BT event-code semantics deferred to representative rows with payload context	no	pr22-bt-group
BT	Lcom/eckom/xtlibrary/b/a/d/g;	BTModelView	public abstract W()V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel	groupedBtEventIntOrSignal	low_medium	reviewed_but_grouped	BTModelView abstract callback family grouped under representative deferred rows; direct presenter->view delegate pattern already established	per-method BT event-code semantics deferred to representative rows with payload context	no	pr22-bt-group
BT	Lcom/eckom/xtlibrary/b/a/d/g;	BTModelView	public abstract X()V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel	groupedBtEventIntOrSignal	low_medium	reviewed_but_grouped	BTModelView abstract callback family grouped under representative deferred rows; direct presenter->view delegate pattern already established	per-method BT event-code semantics deferred to representative rows with payload context	no	pr22-bt-group
BT	`Lcom/eckom/xtlibrary/b/a/d/g;`	`BTModelView`	`Q(I)V`	docs/reports/readability-method-boundary-review.md	1	`BTModel` event branches	`BTPresenter` then `BTView`	integer event/status channel	`publishBtStatusQ(int)`	low-medium	deferred_static	integer callback with repeat callsites in BTModel	correlate with event-code constants in BTModel	no	a669fd3
BT	`Lcom/eckom/xtlibrary/b/a/d/g;`	`BTModelView`	`a(ILjava/lang/String;)V`	docs/reports/readability-method-boundary-review.md	1	`BTModel` event branches	`BTPresenter` then `BTView`	event code + text payload	`publishBtCodeText(int,String)`	medium	deferred_static	stable `(int,String)` signature from model interface invokes	map integer domain from BTModel switch/if branches	no	a669fd3
BT	`Lcom/eckom/xtlibrary/b/a/d/g;`	`BTModelView`	`a(ILjava/lang/String;Ljava/lang/String;)V`	docs/reports/readability-method-boundary-review.md	1	`BTModel` event branches	`BTPresenter` then `BTView`	event code + 2-text payload	`publishBtCodeTextPair(int,String,String)`	medium	deferred_static	three-arg structured channel appears at multiple BT model sites	confirm each text field role	no	a669fd3
BT	`Lcom/eckom/xtlibrary/b/a/d/g;`	`BTModelView`	`a(Ljava/util/ArrayList;)V`	docs/reports/readability-method-boundary-review.md	2	`BTModel`, `BTModel$AsyncTask` (`f$a`)	`BTPresenter` then `BTView`	primary list payload channel	`publishBtPrimaryList(ArrayList)`	medium	deferred_static	presenter forwards list callback directly; multiple model callsites	inspect list element type construction sites	no	a669fd3
BT	`Lcom/eckom/xtlibrary/b/a/d/g;`	`BTModelView`	`b(Ljava/util/ArrayList;)V`	docs/reports/readability-method-boundary-review.md	1	`BTModel$AsyncTask` (`f$a`)	`BTPresenter` then `BTView`	secondary list payload channel	`publishBtSecondaryList(ArrayList)`	medium	deferred_static	distinct list callback method called from async completion	determine semantic split vs `a(ArrayList)`	no	a669fd3
BT	`Lcom/eckom/xtlibrary/b/a/d/g;`	`BTModelView`	`e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V`	docs/reports/readability-method-boundary-review.md	1	`BTModel` event branches	`BTPresenter` then `BTView`	triple-string payload channel	`publishBtTripleText(String,String,String)`	low-medium	deferred_static	consistent signature, no obvious constant naming nearby	requires branch-local string ownership evidence	no	a669fd3
BT	`Lcom/eckom/xtlibrary/b/a/d/g;`	`BTModelView`	`j(Z)V` (to view sink `o(Z)` in BTView)	docs/reports/readability-method-boundary-review.md	1	`BTModel` event branches	`BTPresenter` then `BTView`	boolean event/toggle channel	`publishBtToggleJ(boolean)`	low-medium	deferred_static	presenter forwards `j(Z)` to BTView `o(Z)` showing alias mapping	inspect BTView sink implementation semantics	no	a669fd3
Launcher	`Lcom/eckom/xtlibrary/b/d/b/a;`	`LauncherPresenter`	`b(Landroid/os/Bundle;)V`	docs/reports/readability-method-boundary-review.md	1	model callback into presenter	`LauncherView`	presenter forwarding boundary entrypoint	`forwardLauncherPayload(Bundle)`	high	closed	presenter `b(Bundle)` checks `get()!=null` and forwards unchanged to view interface		no	a669fd3
Launcher	`Lcom/eckom/xtlibrary/b/d/c/a;`	`LauncherView`	`b(Landroid/os/Bundle;)V`	docs/reports/readability-method-boundary-review.md	1	`LauncherPresenter->b(Bundle)`	`BaseLauncherActivity`	launcher payload bundle passed from presenter to view	`onLauncherPayload(Bundle)`	high	confirmed	single-method interface; presenter performs direct `invoke-interface` to `LauncherView->b(Bundle)`		no	a669fd3
Lifecycle	Lcom/tw/music/MusicActivity;	MusicActivity	public onCreate(Landroid/os/Bundle;)V	docs/reports/readability-high-impact-methods.md	0	-	Android lifecycle	framework lifecycle	onCreate(Landroid/os/Bundle;)V	high	low_value	already readable Android lifecycle boilerplate		no	a669fd3
Lifecycle	Lcom/tw/music/MusicService;	MusicService	public onBind(Landroid/content/Intent;)Landroid/os/IBinder;	docs/reports/readability-high-impact-methods.md	0	-	Android lifecycle	framework lifecycle	onBind(Landroid/content/Intent;)Landroid/os/IBinder;	high	low_value	already readable Android lifecycle boilerplate		no	a669fd3
Lifecycle	Lcom/tw/music/MusicService;	MusicService	public onStartCommand(Landroid/content/Intent;II)I	docs/reports/readability-high-impact-methods.md	0	-	Android lifecycle	framework lifecycle	onStartCommand(Landroid/content/Intent;II)I	high	low_value	already readable Android lifecycle boilerplate		no	a669fd3
Lifecycle	Lcom/tw/music/j;	MusicActivityReceiver	public onReceive(Landroid/content/Context;Landroid/content/Intent;)V	docs/reports/readability-high-impact-methods.md	0	-	Android lifecycle	framework lifecycle	onReceive(Landroid/content/Context;Landroid/content/Intent;)V	high	low_value	already readable Android lifecycle boilerplate		no	a669fd3
Lifecycle	Lcom/tw/music/k;	MusicServiceReceiver	public onReceive(Landroid/content/Context;Landroid/content/Intent;)V	docs/reports/readability-high-impact-methods.md	0	-	Android lifecycle	framework lifecycle	onReceive(Landroid/content/Context;Landroid/content/Intent;)V	high	low_value	already readable Android lifecycle boilerplate		no	a669fd3
Music	Lcom/eckom/xtlibrary/b/f/g/a;	MusicModelView	public abstract B(I)V	mappings/manual-enigma/mapping-evidence.md	4	U,ba,L,t	MusicActivity/UI sinks	metadata/state/progress	publishPosition(int)	medium_high	confirmed	existing mapped working label used in model callback hotspots		no	0b5b4e7
Music	Lcom/eckom/xtlibrary/b/f/g/a;	MusicModelView	public abstract D(I)V	mappings/manual-enigma/mapping-evidence.md	4	U,ba,L,t	MusicActivity/UI sinks	metadata/state/progress	publishDuration(int)	medium_high	confirmed	existing mapped working label used in model callback hotspots		no	0b5b4e7
Music	Lcom/eckom/xtlibrary/b/f/g/a;	MusicModelView	public abstract b(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Landroid/graphics/Bitmap;Ljava/lang/String;Ljava/lang/String;I)V	mappings/manual-enigma/mapping-evidence.md	4	U,ba,L,t	MusicActivity/UI sinks	metadata/state/progress	publishTrackMetadata(...)	medium_high	confirmed	existing mapped working label used in model callback hotspots		no	0b5b4e7
Music	Lcom/eckom/xtlibrary/b/f/g/a;	MusicModelView	public abstract c(Z)V	mappings/manual-enigma/mapping-evidence.md	4	U,ba,L,t	MusicActivity/UI sinks	metadata/state/progress	publishIsPlaying(boolean)	medium_high	confirmed	existing mapped working label used in model callback hotspots		no	0b5b4e7
Music	Lcom/eckom/xtlibrary/b/f/g/a;	MusicModelView	public abstract d(II)V	mappings/manual-enigma/mapping-evidence.md	4	U,ba,L,t	MusicActivity/UI sinks	metadata/state/progress	publishProgressPair(int,int)	medium_high	confirmed	existing mapped working label used in model callback hotspots		no	0b5b4e7
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract A(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract E(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract I(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract K(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract S(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract e(Z)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract f(Z)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract i(Z)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract k(Z)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract m(Z)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract n(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract p(Z)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract q(Z)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract r(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract r(Z)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract s(I)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
Radio	Lcom/eckom/xtlibrary/b/h/b/f;	RadioModelView	public abstract s(Z)V	app/apktool/smali_classes3	1	presenter/model callback chain	presenter->view interface	int/bool callback channel		low_medium	reviewed_but_grouped	RadioModelView callback overloads grouped as one representative radio event-channel family	event-code/channel semantic disambiguation required	no	a669fd3
