family	owner_descriptor	method_signature	status	reason	path
Unknown app-owned	Lcom/eckom/xtlibrary/R$anim;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$anim.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$array;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$array.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$attr;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$attr.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$bool;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$bool.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$color;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$color.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$dimen;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$dimen.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$drawable;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$drawable.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$id;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$id.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$integer;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$integer.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$layout;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$layout.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$string;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$string.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$style;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$style.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$styleable;	static constructor <clinit>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$styleable.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$styleable;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$styleable.smali
Unknown app-owned	Lcom/eckom/xtlibrary/R$xml;	public constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/R$xml.smali
Unknown app-owned	Lcom/eckom/xtlibrary/a/a;	public static g(ILjava/lang/String;Ljava/lang/String;)V	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/a/a.smali
Unknown app-owned	Lcom/eckom/xtlibrary/a/a;	private static j(ILjava/lang/String;Ljava/lang/String;)V	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/a/a.smali
Unknown app-owned	Lcom/eckom/xtlibrary/a/b;	static constructor <clinit>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/a/b.smali
Unknown app-owned	Lcom/eckom/xtlibrary/a/b;	private static varargs a([Ljava/lang/Object;)Ljava/lang/String;	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/a/b.smali
Unknown app-owned	Lcom/eckom/xtlibrary/a/b;	private static varargs a(ILjava/lang/String;[Ljava/lang/Object;)V	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/a/b.smali
Unknown app-owned	Lcom/eckom/xtlibrary/a/b;	public static a(Ljava/lang/Object;)V	simple_delegate	single-call forwarding wrapper	app/apktool/smali_classes3/com/eckom/xtlibrary/a/b.smali
Unknown app-owned	Lcom/eckom/xtlibrary/a/b;	private static varargs b(ILjava/lang/String;[Ljava/lang/Object;)[Ljava/lang/String;	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/a/b.smali
Unknown app-owned	Lcom/eckom/xtlibrary/a/b;	public static d(Ljava/lang/Object;)V	simple_delegate	single-call forwarding wrapper	app/apktool/smali_classes3/com/eckom/xtlibrary/a/b.smali
Unknown app-owned	Lcom/eckom/xtlibrary/a/b;	public static e(Ljava/lang/Object;)V	simple_delegate	single-call forwarding wrapper	app/apktool/smali_classes3/com/eckom/xtlibrary/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/a;	constructor <init>(Lcom/eckom/xtlibrary/b/a/a/b;)V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/a.smali
BT	Lcom/eckom/xtlibrary/b/a/a/a;	public onReceive(Landroid/content/Context;Landroid/content/Intent;)V	readable_framework_lifecycle	preserved	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/a.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b$a;	public abstract t(Ljava/lang/String;Ljava/lang/String;)V	no_readability_value	return-only helper	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b$a.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b$b;	public abstract t(I)V	no_readability_value	return-only helper	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b$b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b$b;	public abstract w(Z)V	no_readability_value	return-only helper	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b$b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	public constructor <init>(Landroid/content/Context;Lcom/eckom/xtlibrary/b/a/a/b$b;)V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	static synthetic a(Lcom/eckom/xtlibrary/b/a/a/b;)Lcom/eckom/xtlibrary/b/a/b/a;	generated_or_bridge	synthetic/bridge flag	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	static synthetic a(Lcom/eckom/xtlibrary/b/a/a/b;Z)Z	generated_or_bridge	synthetic/bridge flag	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	static synthetic b(Lcom/eckom/xtlibrary/b/a/a/b;)Lcom/eckom/xtlibrary/b/a/a/b$b;	generated_or_bridge	synthetic/bridge flag	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	static synthetic c(Lcom/eckom/xtlibrary/b/a/a/b;)Landroid/content/Context;	generated_or_bridge	synthetic/bridge flag	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	static synthetic d(Lcom/eckom/xtlibrary/b/a/a/b;)Lcom/eckom/xtlibrary/b/a/a/b$a;	generated_or_bridge	synthetic/bridge flag	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	private f(Landroid/content/Context;)V	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	public a(Ljava/lang/String;Ljava/lang/String;II)V	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	public a(ZLjava/lang/String;)V	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	public fb()V	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	public h(ILjava/lang/String;Ljava/lang/String;)V	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	public i(II)V	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	public i(ILjava/lang/String;Ljava/lang/String;)V	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	public x(Ljava/lang/String;Ljava/lang/String;)V	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/a/b;	public y(Ljava/lang/String;Ljava/lang/String;)V	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/a/b.smali
BT	Lcom/eckom/xtlibrary/b/a/b/a;	private constructor <init>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/b/a.smali
BT	Lcom/eckom/xtlibrary/b/a/b/a;	public static getInstance()Lcom/eckom/xtlibrary/b/a/b/a;	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/b/a.smali
BT	Lcom/eckom/xtlibrary/b/a/b/a;	public gb()Z	reviewed_but_grouped	grouped alias/overload behind representative	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/b/a.smali
BT	Lcom/eckom/xtlibrary/b/a/b/a;	public hb()Z	unresolved_actionable	non-trivial flow/payload behavior	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/b/a.smali
BT	Lcom/eckom/xtlibrary/b/a/b/b;	static constructor <clinit>()V	constructor_or_clinit	constructor/static init	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/b/b.smali
BT	Lcom/eckom/xtlibrary/b/a/b/b;	public static d(Ljava/lang/String;Ljava/lang/String;)V	reviewed_but_grouped	grouped alias/overload behind representative	app/apktool/smali_classes3/com/eckom/xtlibrary/b/a/b/b.smali
